,Player,Player-additional,Season,wOBA,rRE24_wOBA
903,Todd Frazier,frazito01,2015,0.3422388724035608,-6.140453197922849
904,B.J. Upton,uptonbj01,2012,0.3226108452950558,3.5368303856459598
905,Brian Giles,gilesbr02,2007,0.3430073126142596,-6.674801325411343
906,Iván Rodríguez,rodriiv01,2006,0.3300856643356644,-0.21182443951052754
907,Chad Tracy,tracych01,2006,0.3412926829268293,-5.8572008243902465
908,Alex Gordon,gordoal01,2013,0.3256868686868687,1.9483062242424305
909,Ben Zobrist,zobribe01,2010,0.31706027820710975,6.253038654095824
910,B.J. Upton,uptonbj01,2010,0.3284259868421052,0.5382908095394825
911,Chris Coghlan,coghlch01,2015,0.3374697580645161,-3.9951014939516245
912,Denard Span,spande01,2013,0.31292824427480914,8.279744017099246
913,Elvis Andrus,andruel01,2012,0.3221657060518732,3.599474167435134
914,Plácido Polanco,polanpl01,2010,0.321905,3.689870627000012
915,Mark Teahen,teahema01,2007,0.3334563758389261,-2.1277417516778323
916,Johnny Damon,damonjo01,2010,0.3375730706075533,-4.216774977339867
917,Austin Jackson,jacksau01,2013,0.3324222585924713,-1.6405108445171663
918,Justin Upton,uptonju01,2010,0.34935398230088494,-10.109193523893794
919,Dan Uggla,ugglada01,2011,0.33352089552238806,-2.350012342388059
920,Adam Jones,jonesad01,2009,0.34345542635658916,-7.348932852325592
921,Tadahito Iguchi,iguchta01,2006,0.3403667205169629,-5.814065354119561
922,B.J. Upton,uptonbj01,2008,0.3510379146919431,-11.161440262559232
923,Jhonny Peralta,peraljh01,2011,0.35598083623693383,-13.643724525783995
924,Dioner Navarro,navardi01,2014,0.3147263969171484,6.980368123699424
925,Ian Kinsler,kinslia01,2014,0.3190318559556786,4.806921314958458
926,Andre Ethier,ethiean01,2007,0.3408742393509128,-6.137909323732277
927,José Reyes,reyesjo01,2010,0.3254588235294118,1.572366795294112
928,Brennan Boesch,boescbr01,2010,0.32163116370808686,3.4768343940828013
929,Victor Martinez,martivi01,2013,0.33961702127659577,-5.529090834042571
930,Joc Pederson,pederjo01,2015,0.33474350086655114,-3.101518700519949
931,Stephen Drew,drewst01,2009,0.32106174957118355,3.731636326929677
932,Michael Young,youngmi02,2008,0.32820903954802266,0.0868005999999708
933,Melvin Mora,morame01,2006,0.32390687679083097,2.2185987189111582
934,Martín Prado,pradoma01,2013,0.32848338368580066,-0.09041717462237209
935,Adrian Beltré,beltrad01,2006,0.3386257396449704,-5.163284870710056
936,Adam Jones,jonesad01,2015,0.3341868512110727,-2.963101134948121
937,Hideki Matsui,matsuhi01,2011,0.3072413793103448,10.5141239310345
938,Eric Hosmer,hosmeer01,2014,0.31390791896869247,7.159743456353575
939,Brandon Phillips,phillbr01,2007,0.3498692528735632,-10.836914654310334
940,Desmond Jennings,jennide01,2013,0.32997161936560937,-0.924782954591004
941,Mike Cameron,camermi01,2009,0.346128,-9.035664924799995
942,Jhonny Peralta,peraljh01,2010,0.30901957585644374,9.504729410440437
943,Marlon Byrd,byrdma01,2015,0.3168228782287823,5.571778194095945
944,Manny Machado,machama01,2013,0.32522824536376604,1.2976942924393846
945,Carlos Lee,leeca01,2012,0.30697545008183297,10.387132849099874
946,Miguel Montero,montemi01,2014,0.3074735883424408,10.137980728961754
947,Johnny Giavotella,giavojo01,2015,0.30316227180527383,12.254357262880328
948,Casey Kotchman,kotchca01,2008,0.3228415492957747,2.371439949999968
949,Gerardo Parra,parrage01,2015,0.33416666666666667,-3.3730054999999917
950,David Wright,wrighda03,2014,0.308512908777969,9.458147360413093
951,Marco Scutaro,scutama01,2013,0.3246710037174721,1.3564079520446297
952,Casey McGehee,mcgehca01,2014,0.31941279069767436,3.9663904802325813
953,Mark Trumbo,trumbma01,2013,0.3215297619047619,2.897552189285701
954,Mike Lowell,lowelmi01,2006,0.34587539936102235,-9.309322522044713
955,Plácido Polanco,polanpl01,2009,0.3205465465465465,3.3393236720720916
956,Kenny Lofton,loftoke01,2006,0.33621553398058257,-4.52778049825246
957,Kevin Youkilis,youklke01,2012,0.3284102564102564,-0.6538413538461505
958,Edwin Encarnación,encared01,2008,0.35147676419965573,-12.20093812874353
959,Carlos Peña,penaca01,2012,0.30906020066889633,9.0044102361204
960,Lyle Overbay,overbly01,2008,0.3436837881219904,-8.323151780096328
961,Hanley Ramírez,ramirha01,2012,0.3284027149321267,-0.7500693583710314
962,Mark Trumbo,trumbma01,2011,0.3279206349206349,-0.5289490380952335
963,Troy Glaus,glaustr01,2006,0.36689171974522294,-20.070984033121025
964,Erick Aybar,aybarer01,2011,0.32503193277310927,0.8658832934453615
965,Dexter Fowler,fowlede01,2009,0.3424711729622267,-7.856642178528861
966,Ken Griffey Jr.,griffke02,2008,0.33640998217468804,-4.835036990374317
967,Aaron Rowand,rowanaa01,2009,0.3228933823529412,1.7755147860294134
968,Ryan Howard,howarry01,2015,0.30770400000000003,9.362736513599984
969,Álex Ríos,riosal01,2010,0.3438564437194127,-8.779508343230004
970,Mike Moustakas,moustmi01,2012,0.30546557377049177,10.392322550163943
971,Chase Headley,headlch01,2013,0.329531197301855,-1.6844985483979737
972,Kelly Johnson,johnske05,2011,0.3151054365733113,5.4707851476112355
973,Evan Gattis,gattiev01,2015,0.31692678868552415,4.519805654242905
974,Luke Scott,scottlu01,2008,0.34468441064638783,-9.3736297460076
975,Craig Monroe,monrocr01,2006,0.3290171821305842,-1.547405327835052
976,Ryan Garko,garkory01,2007,0.36651481481481485,-20.38246877555557
977,Brandon Inge,ingebr01,2006,0.3307394957983193,-2.558849099159639
978,Jeremy Hermida,hermije01,2008,0.3198047016274864,2.81036972296566
979,Brock Holt,holtbr01,2015,0.3216118811881188,1.9064788665346692
980,J.J. Hardy,hardyjj01,2011,0.34413523131672596,-9.408948587900344
981,Luis Gonzalez,gonzalu01,2007,0.3479578544061303,-11.410896981609227
982,Torii Hunter,hunteto01,2011,0.33677588871715614,-5.858051221638342
983,Nick Markakis,markani01,2011,0.3329112676056338,-3.935096820000001
984,Ryan Zimmerman,zimmery01,2007,0.3401710709318498,-7.596207966342137
985,Alberto Callaspo,callaal01,2011,0.32816666666666666,-1.6320058999999913
986,Akinori Iwamura,iwamuak01,2008,0.32579315263908704,-0.45485345877319094
987,Dan Uggla,ugglada01,2007,0.34611049723756904,-10.616910627624296
988,Michael Bourn,bournmi01,2013,0.3004859649122807,12.152956582105283
989,Ronnie Belliard,belliro01,2007,0.3311254545454545,-3.1818927734545377
990,Eric Byrnes,byrneer01,2006,0.3370581395348837,-6.15922365348838
991,Gregory Polanco,polangr01,2015,0.3044217054263566,10.084430630697655
992,Elvis Andrus,andruel01,2013,0.295942731277533,14.295330302202645
993,Billy Burns,burnsbi02,2015,0.3171121157323689,3.697111255334527
994,Cliff Pennington,pennicl01,2011,0.30500891265597146,9.740729187165796
995,Justin Morneau,morneju01,2012,0.32993772241992886,-2.8178288345196005
996,Jose Altuve,altuvjo01,2012,0.32481789137380196,-0.3270603476038527
997,Omar Infante,infanom01,2010,0.3432195608782435,-9.600960817964078
998,Aramis Ramírez,ramirar01,2014,0.3338941398865784,-4.946696706994295
999,Álex Rodríguez,rodrial01,2012,0.3421178707224335,-9.059932198479096
1000,Shin-Soo Choo,choosh01,2014,0.32131178707224334,1.3465759201520986
1001,Denard Span,spande01,2012,0.3249060283687943,-0.501143528723385
1002,Xavier Nady,nadyxa01,2006,0.33764612326043736,-7.00331347435386
1003,Jermaine Dye,dyeje01,2009,0.34673426573426575,-11.588898795804205
1004,David Eckstein,eckstda01,2009,0.29635559566787,13.608829323826733
1005,Aubrey Huff,huffau01,2007,0.3386173044925125,-7.559065889184701
1006,Kyle Seager,seageky01,2015,0.33451617647058823,-5.5578186302941175
1007,Billy Butler,butlebi03,2015,0.31140703517587937,5.93060200000002
1008,Troy Tulowitzki,tulowtr01,2015,0.3346843100189036,-5.7419134155009335
1009,Jack Wilson,wilsoja02,2007,0.3397842003853565,-8.292708240462447
1010,Mark Reynolds,reynoma01,2010,0.3292597623089983,-3.0487358308998207
1011,Michael Cuddyer,cuddymi01,2010,0.329748502994012,-3.32318759760479
1012,Justin Smoak,smoakju01,2013,0.3314519230769231,-4.205181428846163
1013,Brian Dozier,doziebr01,2013,0.3193457189014539,1.8199375525040704
1014,Luis Castillo,castilu01,2009,0.3342616487455197,-5.720512363440864
1015,Kevin Kouzmanoff,kouzmke01,2008,0.3163278195488722,3.209390010827053
1016,Luis Gonzalez,gonzalu01,2006,0.3407705167173252,-9.076030726747726
1017,Peter Bourjos,bourjpe01,2011,0.3351761467889908,-6.297913740550454
1018,Dustin Ackley,ackledu01,2014,0.3051524163568773,8.698953428996287
1019,Adam LaRoche,larocad01,2013,0.32088793103448277,0.8085745534482602
1020,Carlos Santana,santaca01,2015,0.33060486322188454,-4.071510381155033
1021,Michael A. Taylor,taylomi02,2015,0.2741616766467066,24.14948634131735
1022,Ike Davis,davisik02,2012,0.3311153184165232,-4.3768230203098
1023,Alexei Ramírez,ramiral03,2014,0.31451829268292686,3.9044549109755984
1024,Kurt Suzuki,suzukku01,2009,0.32031484502446983,0.9952130345840136
1025,Cristian Guzmán,guzmacr01,2009,0.3051074681238616,8.591435033879783
1026,Hunter Pence,pencehu01,2008,0.338321875,-8.041301924374988
1027,Chase Headley,headlch01,2009,0.3262019704433497,-1.9893304699507075
1028,Rickie Weeks,weeksri01,2007,0.35644979919678715,-17.138284134939777
1029,Logan Forsythe,forsylo01,2015,0.3495986949429037,-13.74159061402933
1030,Ian Desmond,desmoia01,2010,0.30627580071174376,7.907074095729543
1031,Dee Strange-Gordon,gordode01,2014,0.31224884080370946,4.909558941267384
1032,Rickie Weeks,weeksri01,2008,0.3312075134168158,-4.592935880143157
1033,Ben Revere,reverbe01,2014,0.304294498381877,8.838055345631066
1034,Scott Podsednik,podsesc01,2010,0.32164726027397256,0.12878342945208932
1035,Grégor Blanco,blancgr01,2008,0.3153659491193738,3.2704854731898125
1036,Alberto Callaspo,callaal01,2013,0.3123248532289628,4.781540064970637
1037,Martín Prado,pradoma01,2014,0.324108202443281,-1.122097648167553
1038,Michael Saunders,saundmi01,2012,0.3205271739130435,0.6690132163043505
1039,Randy Winn,winnra01,2009,0.29802702702702705,11.792835183783762
1040,Leonys Martín,martile01,2013,0.3082318548387097,6.6587211536290285
1041,Billy Butler,butlebi03,2014,0.310665,5.4417432109999995
1042,Plácido Polanco,polanpl01,2008,0.33824237560192616,-8.401538980738371
1043,B.J. Upton,uptonbj01,2011,0.3329558359621451,-5.79738842334386
1044,Jeff Francoeur,francje02,2011,0.346490045941807,-12.576748212557414
1045,Yangervis Solarte,solarya01,2014,0.3166516007532957,2.3374454666666473
1046,Cameron Maybin,maybica01,2015,0.3072278481012658,7.000891789873443
1047,A.J. Ellis,ellisaj01,2012,0.341342213114754,-10.121974170081916
1048,James Loney,loneyja01,2014,0.3185069337442219,1.269469872727268
1049,Chase Headley,headlch01,2014,0.31576981132075466,2.628487089056622
1050,Raúl Ibañez,ibanera01,2011,0.30643881118881117,7.22554169965036
1051,Bengie Molina,molinbe01,2008,0.3288475177304965,-4.052544861702143
1052,Jhonny Peralta,peraljh01,2008,0.34713636363636363,-13.220014736363625
1053,Adam Lind,lindad01,2011,0.3160520446096654,2.3173234245353354
1054,Joe Crede,credejo01,2006,0.3497709401709401,-14.597741924102534
1055,Nick Swisher,swishni01,2013,0.3364675118858954,-8.0338114304279
1056,Derrek Lee,leede02,2010,0.34322240000000004,-11.422380851840021
1057,Elvis Andrus,andruel01,2011,0.31873189522342066,0.8069516545454349
1058,Juan Rivera,riverju01,2011,0.30912115384615385,5.603923492692299
1059,Cody Ross,rossco01,2010,0.3223097345132744,-0.9925640584071151
1060,Josh Barfield,barfijo02,2006,0.3153268892794376,2.440021900527255
1061,Dayán Viciedo,vicieda01,2012,0.32134254143646407,-0.7688063856353562
1062,Aubrey Huff,huffau01,2006,0.3459686888454012,-13.135982806262264
1063,Curtis Granderson,grandcu01,2006,0.33486607142857144,-7.59282440178573
1064,Todd Walker,walketo04,2006,0.33234930139720553,-6.344020092215535
1065,Brandon Phillips,phillbr01,2010,0.33598088235294116,-8.170415591470572
1066,Bengie Molina,molinbe01,2007,0.31497276264591445,2.317144214785951
1067,Kevin Kiermaier,kiermke01,2015,0.30932082551594753,5.104054392495273
1068,Nick Markakis,markani01,2014,0.32498016997167134,-2.748226682152948
1069,Jason Bay,bayja01,2007,0.32585761047463174,-3.237093115220948
1070,Jimmy Rollins,rolliji01,2013,0.2951324200913242,12.090620893150701
1071,Erick Aybar,aybarer01,2012,0.3215064220183486,-1.2007739790825736
1072,Aramis Ramírez,ramirar01,2010,0.3217857142857143,-1.3504666428571557
1073,Juan Encarnación,encarju01,2006,0.32236886632825723,-1.7221398172589066
1074,Brian Dozier,doziebr01,2015,0.32275783475783476,-2.066688834188037
1075,Reggie Willits,willire03,2007,0.33777227722772274,-9.57641147524752
1076,Howie Kendrick,kendrho01,2010,0.3156794478527607,1.4536838776073762
1077,Yunel Escobar,escobyu01,2008,0.34134895833333334,-11.415347903124994
1078,Desmond Jennings,jennide01,2012,0.3086924460431655,4.858348816906475
1079,Carlos Beltrán,beltrca01,2015,0.34636672967863896,-14.085069536483958
1080,Mike Jacobs,jacobmi02,2006,0.3395849420849421,-10.713045893822416
1081,Aramis Ramírez,ramirar01,2015,0.3087115009746589,4.728818176608181
1082,Kolten Wong,wongko01,2015,0.30954173486088377,4.233562916530296
1083,Domonic Brown,browndo01,2014,0.2798799212598425,19.019411375196857
1084,Nyjer Morgan,morgany01,2009,0.33788483685220727,-9.99271003992322
1085,Brian McCann,mccanbr01,2014,0.30575418994413406,6.027966379888271
1086,Brian McCann,mccanbr01,2007,0.32944567219152854,-5.8417217447513705
1087,Casey Blake,blakeca01,2010,0.32104955752212383,-1.6522656173450911
1088,Melky Cabrera,cabreme01,2015,0.30663917525773193,5.555326284536096
1089,Jason Kubel,kubelja01,2010,0.32735355285961876,-4.81531353171578
1090,Adam Lind,lindad01,2010,0.30945245901639346,4.13821571213115
1091,José Bautista,bautijo02,2007,0.3322101806239738,-7.264436528078857
1092,Rickie Weeks,weeksri01,2012,0.321162962962963,-1.7489872311111208
1093,Mark Ellis,ellisma01,2007,0.3396150234741784,-10.99809159999999
1094,Aaron Hill,hillaa01,2007,0.34290964777947935,-12.765952637059746
1095,Gary Matthews,matthga02,2007,0.3210715532286213,-1.8932671350785244
1096,Daniel Murphy,murphda08,2009,0.319257299270073,-1.0758379010948897
1097,José Reyes,reyesjo01,2015,0.3004764705882353,8.227705325882354
1098,Orlando Cabrera,cabreor01,2006,0.3224568452380952,-2.766143929464264
1099,Chone Figgins,figgich01,2006,0.31492614475627767,0.970460926144782
1100,Jay Payton,paytoja01,2006,0.3214633730834753,-2.29924233969335
1101,Jeff Francoeur,francje02,2006,0.3129779411764706,1.9048872867647118
1102,Ian Kinsler,kinslia01,2012,0.3269986301369863,-5.117793040273997
1103,Austin Jackson,jacksau01,2015,0.30469083969465655,5.999818658778583
1104,Felipe López,lopezfe01,2006,0.33031623931623927,-6.847150343589712
1105,Brandon Phillips,phillbr01,2008,0.3235688225538972,-3.562317842786064
1106,Alexei Ramírez,ramiral03,2010,0.3243938411669368,-4.00496459740683
1107,Nick Markakis,markani01,2006,0.3455037313432836,-14.613426593283599
1108,Torii Hunter,hunteto01,2006,0.3518292282430214,-17.787228870935966
1109,Jason Bartlett,bartlja01,2010,0.30380961538461543,6.2305776257691985
1110,Howie Kendrick,kendrho01,2013,0.33578613861386136,-9.78301127762375
1111,Rafael Furcal,furcara02,2009,0.3168755555555556,-0.3345692453333424
1112,A.J. Pierzynski,pierza.01,2013,0.31291271347248584,1.6075120056925607
1113,Ryan Theriot,theriry01,2008,0.3406554878048781,-12.278497106707324
1114,Darwin Barney,barneda01,2012,0.28751027397260276,14.292963802054773
1115,Colby Rasmus,rasmuco01,2011,0.3023793103448276,6.725968434482748
1116,Pablo Sandoval,sandopa01,2010,0.31556622516556293,0.05031408410594396
1117,Colby Rasmus,rasmuco01,2009,0.311447265625,2.0904800730468676
1118,Mitch Moreland,morelmi01,2013,0.3198471953578336,-2.1108842216634205
1119,Juan Uribe,uribeju01,2010,0.32407029876977156,-4.25313949666083
1120,Jay Bruce,bruceja01,2014,0.28773098330241187,13.912572366975876
1121,Drew Stubbs,stubbdr01,2011,0.3077195845697329,3.864941632344221
1122,Shane Victorino,victosh01,2012,0.30994817073170733,2.740277268902431
1123,Alejandro De Aza,deazaal01,2013,0.3205029940119761,-2.6288928047904223
1124,Skip Schumaker,schumsk01,2010,0.30054666666666674,7.332595591999961
1125,Brian Roberts,roberbr01,2006,0.32977867528271404,-7.298278768659127
1126,Jamey Carroll,carroja01,2011,0.3170821643286573,-0.9579080529058126
1127,Akinori Iwamura,iwamuak01,2007,0.34130990990990984,-13.105817185945899
1128,Ian Kinsler,kinslia01,2015,0.3345481481481482,-9.803809795555571
1129,Chase Headley,headlch01,2010,0.312544776119403,1.191541980596994
1130,Matt Dominguez,dominma01,2013,0.3010921501706485,6.879762962457312
1131,Dustin Pedroia,pedrodu01,2014,0.3178486842105263,-1.531295696052631
1132,Mike Napoli,napolmi01,2010,0.34068307086614175,-12.962293232677185
1133,Matt Wieters,wietema01,2013,0.30233333333333334,6.20896459999999
1134,Aubrey Huff,huffau01,2011,0.2952164048865619,9.758614503664923
1135,Yunel Escobar,escobyu01,2013,0.31147719298245613,1.6155114084210698
1136,Howie Kendrick,kendrho01,2012,0.31578023850085174,-0.546728238160124
1137,Corey Hart,hartco01,2008,0.32470046082949305,-5.028325511520734
1138,Tadahito Iguchi,iguchta01,2007,0.33099056603773586,-8.184426047169817
1139,Miguel Tejada,tejadmi01,2007,0.34645796064400713,-16.040700218246858
1140,Russell Martin,martiru01,2013,0.31524055666003975,-0.436797406759424
1141,Aaron Rowand,rowanaa01,2008,0.32804801324503313,-6.93265942152318
1142,Randy Winn,winnra01,2006,0.3142575516693164,-0.03513114276629947
1143,Shawn Green,greensh01,2006,0.3355094339622642,-10.694612852830213
1144,Logan Morrison,morrilo01,2015,0.2977445544554455,8.154118529504967
1145,Hunter Pence,pencehu01,2009,0.3557260061919505,-20.886267048606836
1146,Matt Kemp,kempma01,2010,0.32851807228915664,-7.297767255421705
1147,Jhonny Peralta,peraljh01,2015,0.3225362776025236,-4.385873345110385
1148,Brandon Phillips,phillbr01,2006,0.3235396551724138,-5.007729292758624
1149,Cliff Pennington,pennicl01,2010,0.3074946808510638,2.88743096063831
1150,Emil Brown,brownem01,2006,0.35058193979933117,-18.69337685083616
1151,Jason Bartlett,bartlja01,2007,0.3134268077601411,-0.16962078624339805
1152,David Freese,freesda01,2013,0.3217096153846154,-4.31240451423079
1153,Ryan Doumit,doumiry01,2012,0.33218546845124286,-9.55207632466542
1154,Alejandro De Aza,deazaal01,2014,0.3100133843212237,1.4676596095602235
1155,Yuniesky Betancourt,betanyu01,2010,0.30217324185248706,5.259037011663839
1156,Jon Jay,jayjo02,2011,0.337711967545639,-12.626246586612606
1157,Erick Aybar,aybarer01,2009,0.34051933701657455,-14.070399029834224
1158,Martín Prado,pradoma01,2011,0.3023265306122449,4.932367093877549
1159,Mark Trumbo,trumbma01,2015,0.32726102941176477,-7.5490363933824
1160,Jayson Werth,werthja01,2011,0.31889285714285714,-3.373556121428578
1161,Rafael Furcal,furcara02,2012,0.29815238095238095,6.99013733714286
1162,Yadier Molina,molinya01,2010,0.299682261208577,6.174942330994158
1163,Dayán Viciedo,vicieda01,2014,0.3008160714285714,5.587848328214291
1164,Adam Jones,jonesad01,2010,0.3364336569579288,-12.286878326213596
1165,Jordan Pacheco,pachejo01,2012,0.33041235059760954,-9.345221996414345
1166,Brett Lawrie,lawribr01,2015,0.305556856187291,3.086666134113707
1167,Billy Hamilton,hamilbi02,2014,0.28753654485049834,12.059823986378746
1168,Curtis Granderson,grandcu01,2009,0.3382275960170697,-13.344146726031301
1169,Édgar Rentería,renteed01,2008,0.3088088235294118,1.3701406852940865
1170,James Loney,loneyja01,2008,0.3345590062111802,-11.529240636024873
1171,Ben Revere,reverbe01,2012,0.29964899451553934,5.861581219744053
1172,Darwin Barney,barneda01,2011,0.294270944741533,8.52150208983956
1173,José Guillén,guilljo01,2010,0.3214660869565218,-5.120599728347847
1174,Chris Young,youngch04,2008,0.328506512301013,-8.691985335455863
1175,Coco Crisp,crispco01,2011,0.3047227036395147,3.193881377816307
1176,Asdrúbal Cabrera,cabreas01,2013,0.30685225225225227,2.1187522886486376
1177,Andy LaRoche,larocan01,2009,0.3239742710120069,-6.475109619554045
1178,Alexei Ramírez,ramiral03,2012,0.2824455284552846,14.266180347317064
1179,Adrian Beltré,beltrad01,2008,0.33525581395348836,-12.167760595348838
1180,Jason Bay,bayja01,2011,0.3119544554455445,-0.5131993350494928
1181,Nolan Arenado,arenano01,2013,0.30820156555772993,1.3138708403131112
1182,Skip Schumaker,schumsk01,2008,0.33988265306122456,-14.59195098061227
1183,Garrett Atkins,atkinga01,2008,0.3384246987951807,-13.892730952409636
1184,Mitch Moreland,morelmi01,2011,0.319093253968254,-4.283787920238124
